text,Label, , .1, .2, .3, .4, .5, .6,predicted_label_id,predicted_label,confidence
Harganya naik menjadi 40k krn liburan. Anak2 bisa foto bersama hewan yg ada disana. Spot fotonya juga bagus2. Tapi Harga jajanan nya mahal.,Negatif,, , , , , , ,0,Negatif,0.968
Tempat wisata keluarga yang cocok juga untuk edukasi anak anak. Tersedia banyak spot foto yang instagramable. Htm 25rb/orang. Protokol kesehatan sangat diperhatikan. Tempat parkir luas,Positif,, , , , , , ,2,Positif,0.9835
"Tempat ini bagus untuk berlibur bersama keluarga, terutama yang memiliki anak kecil.. Karena temoatbini megajarkan kita untuk mengenal alam secara lebih dekat, ada kelinci, ikan, luak sampai kuda.. Kalo berangkat ke sini saya sarankan lebih pagi, karena terlalu siang bisa jadi harus antri untuk parkir..",Positif,, , , , , , ,2,Positif,0.9595
"Tempat ini lebih ke mini zoo ya sama spot foto. Lumayan anak saya bisa naik kuda, kasih makan burung, unta,rusa, dan domba. Setelah itu kami foto2. Ada kafe nya juga di dalam kalau misalkan gamau masuk, bisa tunggu di luar maupun di dalam. Sekian, semoga membantu, have fun gaes",Positif,, , , , , , ,1,Netral,0.7007
"Tempat mudah ditemukan karena petunjuk jalan yang jelas, harga tiket per Mei 2023: Rp. 35.000. Parkir mobil Rp. 10
000. Masuk wahana gratis kecuali berkuda Rp. 20.000. Satwa-nya beragam mulai dari burung, kucing, reptil dan lain lain.",,, , , , , , ,2,Positif,0.9579
"bagus, apik, luas daerah wisatanya, kmdian banyak binatang besar, sperti ular, biawak, kuda, space buat foto2, berada dibawah kaki gunung merapi, kaliurang",Positif, , , , , , , ,2,Positif,0.9759
Bocil2 kesini suka banget dan betah. Banyak wahana bermain taman dan ada mini zoonya. Untuk hewannya masih sedikit. Tiket masuk wisata ini 35.000 per orang dan umur 3 tahun udah bayar sendiri.Apalagi sekarang ada wahana Langlang buana yaitu …, , , , , , , , ,2,Positif,0.7791
"Lokasi di Jogja utara, jalan kaliurang daerah Pakem.
wisata edukasi buat anak² karena ada mini zoo dan wisata selfie krn tempatnya instagramable 📸 …",Positif, , , , , , , ,2,Positif,0.9837
"Tempatnya luas, tiketnya lumayan worth it, banyak tempat bagus untuk berfoto, ada binatang juga yang bisa kita liat, ada tempat jual makanan ringan dan minuman juga. Sayangnya klau kita bawa kamera mirrorless atau DSLR kena cas lumayan 50ribu. Recommended deh tempat ini bagus.",Netral, , , , , , , ,1,Netral,0.7725
"Suka banget dengan tempat ini, kebetulan kemarin pas kedini keadaan cuaca mendung.",Netral, , , , , , , ,2,Positif,0.6307
Kebun binatang mini dengan santorini yg memukau. Sesuai dengn harga tiket. Kandang kucingnya aja yg bau. Ada petugas yg standby kalau kita mau foto dengan hewan.,Negatif, , , , , , , ,0,Negatif,0.9478
"Suasana sejuk, banyak satwa yg bisa dilihat. Spot foto sangat menarik dan pemandangan juga indah. Tempat parkir motor dan mobil luas serta tidak jauh dari lokasi wisata. Kamar mandinya tolong diperhatikan lagi kebersihannya. …",Netral, , , , , , , ,1,Netral,0.7571
"Bagusss bgt tempatnya banyak spot foto yg menarik
Bersih
Koleksi binatangnya lumayan banyak …",Positif, , , , , , , ,2,Positif,0.9666
"Tempatnya adem pas buat anakanak kecil main, ada banyak binatang dan tempat2 foto yang kekinian ada santorini kw yg banyak dipakai buat foto sampe antri antri, tiket masuk 20rb",Positif, , , , , , , ,2,Positif,0.9835
"Wisata ramah anak, ada beberapa hewan yg bisa dilihat,, jenis reptil, burung, luwak. Tempatnya jg instagramable banget. Bikin2 story, ato buat prewed juga bisa. Baru disini, kita bisa merasakan di kejar burung,🤣 …", , , , , , , , ,2,Positif,0.9829
"Bukan weekend jd ga rame bgt
Ada hewan baru dr terakhir kesana
Overall masi lmyn
Tiket 35k/orh", , , , , , , , ,1,Netral,0.5082
Tempaat menurut saya bagus.. buat anak dan keluarga.. bisa kasih makan langsung satwa disana juga cocok buat santai sekedaar ngopi bersama teman dekat atau patner bisnis. Lokasi juga mudah sekali dari jalan raya kaliurang  10 meter.. masuk gang dikit,Netral, , , , , , , ,1,Netral,0.889
Kesini saat weekend HTM 30k. Spot foto lang² buana diwaktu 10 menit untuk 25 orang. Banyak binatang² bisa untuk diberi makan anak², , , , , , , , ,2,Positif,0.9631
Asri banget buat wisata kalian disini suasananya sejuk. Dan spot foto nya serasa diluar negri loh lur👌👌 pokok nya ajak keluarga dan teman dekat kalian …, , , , , , , , ,2,Positif,0.9562
"berkunjung kesini hari senin kemarin, tempatnya enak, rindang, adem, awal masuk gak banyak orang jadi bisa foto2 sepuasnya tapi semakin siang semakin ramai orang karena udah mulai libur sekolah.. cocok untuk ajak keluarga dari anak2 sampai lansia, recommended 🫶 …", , , , , , , , ,2,Positif,0.9704
