text,label_indobert,confidence,label_llm_final,alasan_llm,raw_llm_output
Harganya naik menjadi 40k krn liburan. Anak2 bisa foto bersama hewan yg ada disana. Spot fotonya juga bagus2. Tapi Harga jajanan nya mahal.,negatif,0.9946,netral,"Teks mengandung kemungkinan positif (hewan menarik, spot fotonya bagus) dan kemungkinan negatif (harga jajanan mahal dan harganya mahal)","{
  ""label_final"": ""netral"",
  ""alasan"": ""Teks mengandung kemungkinan positif (hewan menarik, spot fotonya bagus) dan kemungkinan negatif (harga jajanan mahal dan harganya mahal)""
}"
Tempat wisata keluarga yang cocok juga untuk edukasi anak anak. Tersedia banyak spot foto yang instagramable. Htm 25rb/orang. Protokol kesehatan sangat diperhatikan. Tempat parkir luas,positif,0.9927,positif,"Teks menggambarkan tempat wisata dengan fitur positif seperti harga yang terjangkau (Htp 25rb/orang), protokol kesehatan yang diperhatikan, serta adanya spot foto yang instagramable dan tempat parkir yang luas, membuat teks memliki nada yang positif","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks menggambarkan tempat wisata dengan fitur positif seperti harga yang terjangkau (Htp 25rb/orang), protokol kesehatan yang diperhatikan, serta adanya spot foto yang instagramable dan tempat parkir yang luas, membuat teks memliki nada yang positif""
}"
"Tempat ini bagus untuk berlibur bersama keluarga, terutama yang memiliki anak kecil.. Karena temoatbini megajarkan kita untuk mengenal alam secara lebih dekat, ada kelinci, ikan, luak sampai kuda.. Kalo berangkat ke sini saya sarankan lebih pagi, karena terlalu siang bisa jadi harus antri untuk parkir..",netral,0.9441,positif,"Teks tersebut mengungkapkan bahwa tempat tersebut cocok untuk berlibur bersama keluarga, serta menyebutkan kelebihan tempat seperti kehadiran binatang dan pelajaran mengenal alam lebih dekat, sehingga menunjukkan kesan positif.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks tersebut mengungkapkan bahwa tempat tersebut cocok untuk berlibur bersama keluarga, serta menyebutkan kelebihan tempat seperti kehadiran binatang dan pelajaran mengenal alam lebih dekat, sehingga menunjukkan kesan positif.""
}"
"Tempat ini lebih ke mini zoo ya sama spot foto. Lumayan anak saya bisa naik kuda, kasih makan burung, unta,rusa, dan domba. Setelah itu kami foto2. Ada kafe nya juga di dalam kalau misalkan gamau masuk, bisa tunggu di luar maupun di dalam. Sekian, semoga membantu, have fun gaes",positif,0.9271,netral,"Teks tersebut tidak memiliki unsur bermakna yang jelas dan tidak ada kata-kata yang negatif. Namun, teks juga tidak secara eksplisit memiliki tujuan promosi atau rekomendasi yang kuat. Jadi, label netral adalah pilihan terbaik.","{
  ""label_final"": ""netral"",
  ""alasan"": ""Teks tersebut tidak memiliki unsur bermakna yang jelas dan tidak ada kata-kata yang negatif. Namun, teks juga tidak secara eksplisit memiliki tujuan promosi atau rekomendasi yang kuat. Jadi, label netral adalah pilihan terbaik.""
}"
"Tempat mudah ditemukan karena petunjuk jalan yang jelas, harga tiket per Mei 2023: Rp. 35.000. Parkir mobil Rp. 10
000. Masuk wahana gratis kecuali berkuda Rp. 20.000. Satwa-nya beragam mulai dari burung, kucing, reptil dan lain lain.",positif,0.9705,positif,"Informasi tentang harga tiket dan wahana yang dapat dinikmati memberikan kesan positif. Selain itu, penulisannya lugas dan detail juga menunjukkan bahwa objek wisata ini menarik untuk dikunjungi.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Informasi tentang harga tiket dan wahana yang dapat dinikmati memberikan kesan positif. Selain itu, penulisannya lugas dan detail juga menunjukkan bahwa objek wisata ini menarik untuk dikunjungi.""
}"
"bagus, apik, luas daerah wisatanya, kmdian banyak binatang besar, sperti ular, biawak, kuda, space buat foto2, berada dibawah kaki gunung merapi, kaliurang",positif,0.9909,positif,"Teks tersebut menggunakan kata-kata bermakna positif seperti ""bagus"", ""apik"", dan ""luas daerah wisatanya"", sehingga menunjukkan kesan bahwa tempat tersebut memiliki kelebihan. Selain itu, teks tersebut juga menyebutkan kehadiran binatang besar dan suasana alami yang indah, yang juga menunjang kesan yang positif.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks tersebut menggunakan kata-kata bermakna positif seperti \""bagus\"", \""apik\"", dan \""luas daerah wisatanya\"", sehingga menunjukkan kesan bahwa tempat tersebut memiliki kelebihan. Selain itu, teks tersebut juga menyebutkan kehadiran binatang besar dan suasana alami yang indah, yang juga menunjang kesan yang positif.""
}"
Bocil2 kesini suka banget dan betah. Banyak wahana bermain taman dan ada mini zoonya. Untuk hewannya masih sedikit. Tiket masuk wisata ini 35.000 per orang dan umur 3 tahun udah bayar sendiri.Apalagi sekarang ada wahana Langlang buana yaitu …,positif,0.7328,positif,Penggunan kata-kata positif seperti 'suka banget' dan 'betah' menampilkan kesan penulis tentang destinasi wisata tersebut.,"{
  ""label_final"": ""positif"",
  ""alasan"": ""Penggunan kata-kata positif seperti 'suka banget' dan 'betah' menampilkan kesan penulis tentang destinasi wisata tersebut.""
}"
"Lokasi di Jogja utara, jalan kaliurang daerah Pakem.
wisata edukasi buat anak² karena ada mini zoo dan wisata selfie krn tempatnya instagramable 📸 …",positif,0.992,positif,Teks deskripsi menggunakan kata-kata positif seperti 'wisata edukasi buat anak²' dan 'instagramable' yang menunjukkan bahwa lokasi tersebut menawarkan pengalaman yang menyenangkan dan menarik.,"{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks deskripsi menggunakan kata-kata positif seperti 'wisata edukasi buat anak²' dan 'instagramable' yang menunjukkan bahwa lokasi tersebut menawarkan pengalaman yang menyenangkan dan menarik.""
}"
"Tempatnya luas, tiketnya lumayan worth it, banyak tempat bagus untuk berfoto, ada binatang juga yang bisa kita liat, ada tempat jual makanan ringan dan minuman juga. Sayangnya klau kita bawa kamera mirrorless atau DSLR kena cas lumayan 50ribu. Recommended deh tempat ini bagus.",netral,0.9676,positif,"Penulis mengutarakan kelebihan tempat, seperti luas, tiket terasa worth it, banyak tempat bagus untuk berfoto, binatang, tempat jual makanan, dll. Hanya kekurangan satu, yaitu kenaikan biaya untuk merekam foto menggunakan kamera tertentu, namun tidak menghalangi penulis untuk merekomendasikan tempat tersebut.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Penulis mengutarakan kelebihan tempat, seperti luas, tiket terasa worth it, banyak tempat bagus untuk berfoto, binatang, tempat jual makanan, dll. Hanya kekurangan satu, yaitu kenaikan biaya untuk merekam foto menggunakan kamera tertentu, namun tidak menghalangi penulis untuk merekomendasikan tempat tersebut.""
}"
"Suka banget dengan tempat ini, kebetulan kemarin pas kedini keadaan cuaca mendung.",netral,0.9442,positif,"Kalimat mengandung kata 'Suka banget' yang menunjukkan kesukaan dan rasa bahagia, serta kemungkinan cuaca mendung tidak mempengaruhi kesan umum terhadap tempat tersebut.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Kalimat mengandung kata 'Suka banget' yang menunjukkan kesukaan dan rasa bahagia, serta kemungkinan cuaca mendung tidak mempengaruhi kesan umum terhadap tempat tersebut.""
}"
Kebun binatang mini dengan santorini yg memukau. Sesuai dengn harga tiket. Kandang kucingnya aja yg bau. Ada petugas yg standby kalau kita mau foto dengan hewan.,negatif,0.9947,positif,"Kebun binatang mini dengan santorini yg memukau (hal yang positif) dan kawasan tertentu (kandang kucingnya) yang memiliki bau, namun tidak menjadi tujuan utama ulasan tersebut dan masih ada hal positif lain seperti petugas standby untuk foto dengan hewan.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Kebun binatang mini dengan santorini yg memukau (hal yang positif) dan kawasan tertentu (kandang kucingnya) yang memiliki bau, namun tidak menjadi tujuan utama ulasan tersebut dan masih ada hal positif lain seperti petugas standby untuk foto dengan hewan.""
}"
"Suasana sejuk, banyak satwa yg bisa dilihat. Spot foto sangat menarik dan pemandangan juga indah. Tempat parkir motor dan mobil luas serta tidak jauh dari lokasi wisata. Kamar mandinya tolong diperhatikan lagi kebersihannya. …",positif,0.928,positif,"Penulis menggambarkan suasananya sejuk dan banyak satwa yang bisa dilihat, serta spot foto yang menarik dan pemandangan yang indah. Ini menunjukkan bahwa mereka memiliki kesan yang baik terhadap lokasi wisata.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Penulis menggambarkan suasananya sejuk dan banyak satwa yang bisa dilihat, serta spot foto yang menarik dan pemandangan yang indah. Ini menunjukkan bahwa mereka memiliki kesan yang baik terhadap lokasi wisata.""
}"
"Bagusss bgt tempatnya banyak spot foto yg menarik
Bersih
Koleksi binatangnya lumayan banyak …",positif,0.9887,positif,"Kata-kata yang digunakan seperti 'bagusss', 'bersih', dan 'lumayan banyak' menunjukkan bahwa teks tersebut memiliki nada positif.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Kata-kata yang digunakan seperti 'bagusss', 'bersih', dan 'lumayan banyak' menunjukkan bahwa teks tersebut memiliki nada positif.""
}"
"Tempatnya adem pas buat anakanak kecil main, ada banyak binatang dan tempat2 foto yang kekinian ada santorini kw yg banyak dipakai buat foto sampe antri antri, tiket masuk 20rb",positif,0.9883,positif,"Deskripsi tentang tempat yang menyenangkan untuk anak-anak, adanya binatang dan lokasifoto yang kekinian menandakan tempat ini populer dan menyenangkan untuk dikunjungi. Harga tiket masuk relatif murah ($20rb) juga menambahkan kesan positif.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Deskripsi tentang tempat yang menyenangkan untuk anak-anak, adanya binatang dan lokasifoto yang kekinian menandakan tempat ini populer dan menyenangkan untuk dikunjungi. Harga tiket masuk relatif murah ($20rb) juga menambahkan kesan positif.""
}"
"Wisata ramah anak, ada beberapa hewan yg bisa dilihat,, jenis reptil, burung, luwak. Tempatnya jg instagramable banget. Bikin2 story, ato buat prewed juga bisa. Baru disini, kita bisa merasakan di kejar burung,🤣 …",positif,0.9907,positif,"Teks berisi deskripsi tentang tempat wisata yang ramah anak, instagramable, dan mengandung aktivitas menarik seperti bermain di kejar burung. Bahasa yang digunakan juga berisi kata-kata yang positif, seperti 'banget' dan 'bikin2', sehingga menunjukkan kesan yang positif.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks berisi deskripsi tentang tempat wisata yang ramah anak, instagramable, dan mengandung aktivitas menarik seperti bermain di kejar burung. Bahasa yang digunakan juga berisi kata-kata yang positif, seperti 'banget' dan 'bikin2', sehingga menunjukkan kesan yang positif.""
}"
"Bukan weekend jd ga rame bgt
Ada hewan baru dr terakhir kesana
Overall masi lmyn
Tiket 35k/orh",netral,0.7872,ERROR,Format LLM tidak sesuai JSON,"Berikut adalah hasil periksa label:

{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks mengandung kata-kata yang mengindikasikan kesenangan, seperti 'weekend jd ga rame bgt', 'ada hewan baru dr terakhir kesana', dan 'masi lmyn' yang mengindikasikan kenyamanan. Selain itu, teks juga menyebutkan harga tiket yang mungkin menarik bagi pembaca.""
}"
Tempaat menurut saya bagus.. buat anak dan keluarga.. bisa kasih makan langsung satwa disana juga cocok buat santai sekedaar ngopi bersama teman dekat atau patner bisnis. Lokasi juga mudah sekali dari jalan raya kaliurang  10 meter.. masuk gang dikit,netral,0.9673,positif,"Teks mengandung kata-kata bermakna positif seperti 'bagus', 'cocok', 'santai', dan 'ngopi bersama teman dekat atau patner bisnis' yang menunjukkan bahwa penulis memiliki pandangan baik terhadap tempat tersebut.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks mengandung kata-kata bermakna positif seperti 'bagus', 'cocok', 'santai', dan 'ngopi bersama teman dekat atau patner bisnis' yang menunjukkan bahwa penulis memiliki pandangan baik terhadap tempat tersebut.""
}"
Kesini saat weekend HTM 30k. Spot foto lang² buana diwaktu 10 menit untuk 25 orang. Banyak binatang² bisa untuk diberi makan anak²,positif,0.6602,pozitif,"Teks mengandung informasi yang menunjukkan bahwa objek foto adalah binatang yang lezat dan cocok untuk diberi makan anak-anak, sehingga dapat membuat pembaca merasa positif dan menyenangkan.","{
  ""label_final"": ""pozitif"",
  ""alasan"": ""Teks mengandung informasi yang menunjukkan bahwa objek foto adalah binatang yang lezat dan cocok untuk diberi makan anak-anak, sehingga dapat membuat pembaca merasa positif dan menyenangkan.""
}"
Asri banget buat wisata kalian disini suasananya sejuk. Dan spot foto nya serasa diluar negri loh lur👌👌 pokok nya ajak keluarga dan teman dekat kalian …,positif,0.9878,positif,"Teks tersebut menggunakan kalimat-kalimat positif seperti 'Asri banget', 'sejuk', dan 'Ajak keluarga dan teman dekat', yang menunjukkan bahwa penulis memiliki opini yang positif tentang tempat wisata tersebut.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks tersebut menggunakan kalimat-kalimat positif seperti 'Asri banget', 'sejuk', dan 'Ajak keluarga dan teman dekat', yang menunjukkan bahwa penulis memiliki opini yang positif tentang tempat wisata tersebut.""
}"
"berkunjung kesini hari senin kemarin, tempatnya enak, rindang, adem, awal masuk gak banyak orang jadi bisa foto2 sepuasnya tapi semakin siang semakin ramai orang karena udah mulai libur sekolah.. cocok untuk ajak keluarga dari anak2 sampai lansia, recommended 🫶 …",positif,0.7099,positif,"Pesonanya menggunakan kata-kata positif seperti 'enak', 'rindang', 'adem' untuk deskripsikan tempatnya, serta menggunakan simbol 'cocok' untuk menunjukkan bahwa tempat tersebut sesuai untuk berbagai usia.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Pesonanya menggunakan kata-kata positif seperti 'enak', 'rindang', 'adem' untuk deskripsikan tempatnya, serta menggunakan simbol 'cocok' untuk menunjukkan bahwa tempat tersebut sesuai untuk berbagai usia.""
}"
Tempat wisata yg cocok untuk anak2. Pas kesana weekday tdk terlalu ramai sehingga bisa puas menikmati suasananya. Bisa lihat beberapa hewan secara langsung juga. Semoga bisa ditingkatkan lagi fasilitasnya yaa 🤗 …,netral,0.5658,positif,"Teks menyebutkan hal-hal positif seperti suasana yang nyaman, kemampuan melihat hewan secara langsung, dan harapannya untuk fasilitas yang lebih baik","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks menyebutkan hal-hal positif seperti suasana yang nyaman, kemampuan melihat hewan secara langsung, dan harapannya untuk fasilitas yang lebih baik""
}"
"Pengalaman yang seru ke bhumi merapi karena ada wisata ala santorini yang sangat luas, sampai 2 kali. Untuk tiket seharga 30rb/orang terbilang murah. Saran untuk kesini saat jam buka, yaitu jam 9 pagi, waktu cuaca cerah-cerahnya... Semoga tempat ala-alanya diperluas, bukan cuma santorini.",positif,0.9589,positif,"Teksnya menggambarkan pengalaman positif dengan menyinggung kelebihan tempat wisata, menyebutkan hal yang menyenangkan (seru, murah), dan berharap tempat wisata diperluas.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teksnya menggambarkan pengalaman positif dengan menyinggung kelebihan tempat wisata, menyebutkan hal yang menyenangkan (seru, murah), dan berharap tempat wisata diperluas.""
}"
"tempat rekomended untuk santau keluarga. hanya saja dikatakan Zoo, lokasi nya lumayan kecil untuk zoo. Bisa dibilang mini zoo. Jd ngga perlu waktu lama untk bermain disini kecuali mau santai2. Ada foto2 bagus seperti di santorini. ada sewaan baju untuk foto2.",netral,0.961,positif,"Teks menggambarkan pengalaman yang nyaman dan menyenangkan dengan kata-kata seperti ""tempat rekomended"" dan ""foto2 bagus"", serta tidak memberikan kritik atau kekecewaan apa pun.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks menggambarkan pengalaman yang nyaman dan menyenangkan dengan kata-kata seperti \""tempat rekomended\"" dan \""foto2 bagus\"", serta tidak memberikan kritik atau kekecewaan apa pun.""
}"
"Tempat nya bagus, parkirnya luas, kalau pas ramai yg mau foto² harus bisa mengkondisikan",negatif,0.8363,positif,"Ditetokkan kalau lokasi tempat bagus dan parkirnya luas, namun harus siap menghadapi kepadatan pengunjung","{
  ""label_final"": ""positif"",
  ""alasan"": ""Ditetokkan kalau lokasi tempat bagus dan parkirnya luas, namun harus siap menghadapi kepadatan pengunjung""
}"
"Tempatnya cukup luas, bersih, harga tiket murah yang sudah termasuk untuk berbagai spot didalamnya, terdapat beberapa hewan dan tumbuhan serta berbagai spot foto yang salah satunya paling diminati adalah santorini.",netral,0.9275,positif,"Deskripsi menggambarkan tempat tersebut dengan kata-kata positif seperti 'cukup luas', 'bersih', 'harga tiket murah', dan 'salah satunya paling diminati'. Ini menunjukkan bahwa penulis memiliki persepsi yang positif terhadap tempat tersebut.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Deskripsi menggambarkan tempat tersebut dengan kata-kata positif seperti 'cukup luas', 'bersih', 'harga tiket murah', dan 'salah satunya paling diminati'. Ini menunjukkan bahwa penulis memiliki persepsi yang positif terhadap tempat tersebut.""
}"
"Sangat cocok untuk wisata keluarga. Ada koleksi hewan-hewan, spot fito di kebun dan miniatur kota seperti di luar negeri. Ada wahana naik kuda jiga",positif,0.9899,positif,"Teks tersebut menyebutkan kata-kata positif seperti 'cocok', 'koleksi', 'spot fito' dan 'wahana', yang menunjukkan bahwa tempat wisata tersebut memiliki kegiatan-kegiatan yang menyenangkan dan menarik bagi keluarga.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks tersebut menyebutkan kata-kata positif seperti 'cocok', 'koleksi', 'spot fito' dan 'wahana', yang menunjukkan bahwa tempat wisata tersebut memiliki kegiatan-kegiatan yang menyenangkan dan menarik bagi keluarga.""
}"
"Agro wisata bhumi merapi salah satu tempat wisata yang cukup baru di Jogja. Lingkungan yang masih asri dan udara yang segar cocok untuk weekend bareng keluarga, pacar, atau pun teman. Di sana para wisatawan bisa berinteraksi dengan binatang …",positif,0.989,positif,"Teks menggambarkan tempat wisata dengan kata-kata positif seperti 'sangat baru', 'asri', 'mudah', dan 'cocok untuk weekend bareng keluarga', yang menunjukkan kegiatan wisata tersebut menawarkan pengalaman yang menyenangkan dan menyegarkan.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks menggambarkan tempat wisata dengan kata-kata positif seperti 'sangat baru', 'asri', 'mudah', dan 'cocok untuk weekend bareng keluarga', yang menunjukkan kegiatan wisata tersebut menawarkan pengalaman yang menyenangkan dan menyegarkan.""
}"
"Lokasi disekitar jalan kaliurang atas tapi sebelum TPR. Terdapat tempat parkir yang cukup luas. Tempatnya cocok untuk liburan bersama anak2. Di sana bisa melihat dan berinteraksi bersama binatang seperti kelinci, kuda, kambing, domba, …",netral,0.9244,positif,"Tekst tersebut menggambarkan lokasi tersebut sebagai tempat yang cocok untuk liburan bersama anak-anak, serta menyebutkan kegiatan yang dapat dilakukan seperti melihat dan berinteraksi dengan binatang. Hal ini menunjukkan bahwa penulisnya memiliki pandangan yang positif tentang lokasi tersebut.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Tekst tersebut menggambarkan lokasi tersebut sebagai tempat yang cocok untuk liburan bersama anak-anak, serta menyebutkan kegiatan yang dapat dilakukan seperti melihat dan berinteraksi dengan binatang. Hal ini menunjukkan bahwa penulisnya memiliki pandangan yang positif tentang lokasi tersebut.""
}"
Salah satu tempat wisata edukasi yang recommended untuk keluarga. Tiket masuk yg sangat terjangkau ditambah dengan fasilitas pendukung yg sangat lengkap. …,positif,0.9941,positif,"Kata-kata seperti 'recommended', 'terjangkau', dan 'lengkap' menunjukkan bahwa teks tersebut memiliki nada yang positif.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Kata-kata seperti 'recommended', 'terjangkau', dan 'lengkap' menunjukkan bahwa teks tersebut memiliki nada yang positif.""
}"
"Bisa sampai di tempat ini karena Instagram (thx berat IG) dan benar2 seneng banget, keren banget tempatnya, apalagi kalau Anda berniat datang bareng keluarga/ anak2.. Disini kita bisa mengenalkan anak pada banyak hewan. Tidak hanya menunjuk …",positif,0.9891,positif,"Teks mengandung kata-kata positif seperti 'seneng banget', 'keren banget' yang menunjukkan kesan yang baik tentang tempat tersebut.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks mengandung kata-kata positif seperti 'seneng banget', 'keren banget' yang menunjukkan kesan yang baik tentang tempat tersebut.""
}"
"Ada mini zoo dg hewan2 yg bagus2 termasuk berbagai macam kucing. Bisa foto dg burung2 & ular gratis. Karyawannya ramah2. Tempatnya luas, bersih & asri. …",positif,0.9916,positif,"Deskripsi teks menunjukkan bahwa tempat tersebut menawarkan pengalaman positif, seperti karyawan ramah, tempat luas dan bersih, serta pengalaman foto gratis","{
  ""label_final"": ""positif"",
  ""alasan"": ""Deskripsi teks menunjukkan bahwa tempat tersebut menawarkan pengalaman positif, seperti karyawan ramah, tempat luas dan bersih, serta pengalaman foto gratis""
}"
"Tempat berlibur untuk semua kalangan..
Bapak-bapak, ibu-ibu, anak kecil, remaja, dewasa.
Bisa bawa keluarga, teman, atau pasangan kesini~",positif,0.9843,positif,"Teks tersebut memiliki kata-kata seperti 'Tempat berlibur untuk semua kalangan', 'Bisa bawa keluarga', 'teman', atau 'pasangan', yang menyiratkan bahwa tempat tersebut menyenangkan dan ramah bagi semua orang tanpa memandang usia atau status hubungan.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Teks tersebut memiliki kata-kata seperti 'Tempat berlibur untuk semua kalangan', 'Bisa bawa keluarga', 'teman', atau 'pasangan', yang menyiratkan bahwa tempat tersebut menyenangkan dan ramah bagi semua orang tanpa memandang usia atau status hubungan.""
}"
"Ajak anak2 anda ke sini dan gak akan kecewa. Interaksi sama alam dan hewan-hewan sampai puas. Cm catatan untuk pengelola, hewan2 jangan sampai dibiarkan kelaparan ya",positif,0.6744,positif,"Kalimat membahas tentang kegiatan yang menyenangkan dan menarik anak-anak, serta menunjukkan perhatian pada kondisi hewan-hewan yang ada.","{
  ""label_final"": ""positif"",
  ""alasan"": ""Kalimat membahas tentang kegiatan yang menyenangkan dan menarik anak-anak, serta menunjukkan perhatian pada kondisi hewan-hewan yang ada.""
}"
